Channel,Channel_Name,Baseline_IoU,Occluded_IoU,IoU_Drop,Importance_Norm
0,B2 (Blue),0.4935,0.4915,0.002,0.004324324230825422
1,B3 (Green),0.4935,0.5298,0.0,0.0
2,B4 (Red),0.4935,0.4242,0.0693,0.14983783459810088
3,B5 (RE1),0.4935,0.5068,0.0,0.0
4,B6 (RE2),0.4935,0.5023,0.0,0.0
5,B7 (RE3),0.4935,0.498,0.0,0.0
6,B8 (NIR),0.4935,0.4771,0.0164,0.03545945869276846
7,B8A (NIR-n),0.4935,0.505,0.0,0.0
8,B11 (SWIR1),0.4935,0.031,0.4625,0.9999999783783788
9,B12 (SWIR2),0.4935,0.5163,0.0,0.0
10,NDVI,0.4935,0.5073,0.0,0.0
11,NDWI,0.4935,0.4488,0.0447,0.09664864655894817
12,EVI,0.4935,0.1145,0.379,0.8194594417414175
13,SAVI,0.4935,0.4936,0.0,0.0
14,BSI,0.4935,0.5032,0.0,0.0
15,NDSI,0.4935,0.489,0.0045,0.009729729519357199
16,Slope,0.4935,0.5088,0.0,0.0
