Model,Patch,Type,Distance
unet,0,FP,2.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FP,2.0
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.41
unet,0,FP,1.0
unet,0,FP,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
unet,0,FN,1.0
attnunet,0,FP,1.0
attnunet,0,FP,2.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,2.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,2.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.41
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FP,1.0
attnunet,0,FN,1.0
attnunet,0,FN,1.0
attnunet,0,FN,1.0
attnunet,0,FN,1.0
resunet,0,FP,1.41
resunet,0,FP,1.0
resunet,0,FP,1.0
resunet,0,FP,1.41
resunet,0,FP,1.0
resunet,0,FP,1.0
resunet,0,FP,2.0
resunet,0,FP,1.0
resunet,0,FP,1.0
resunet,0,FP,1.41
resunet,0,FP,1.0
resunet,0,FP,1.0
resunet,0,FP,1.41
resunet,0,FP,1.0
resunet,0,FP,1.41
resunet,0,FP,1.0
resunet,0,FP,1.0
resunet,0,FN,1.0
resunet,0,FN,1.0
resunet,0,FN,1.0
resunet,0,FN,1.0
resunet,0,FN,1.0
