Model,Metric,Best_Threshold,Best_Score
unet,IoU,0.3,0.2438
unet,F1,0.3,0.392
unet,Precision,0.9,0.6923
unet,Recall,0.1,0.6125
attnunet,IoU,0.8,0.2262
attnunet,F1,0.8,0.3689
attnunet,Precision,0.9,1.0
attnunet,Recall,0.1,1.0
resunet,IoU,0.9,0.1855
resunet,F1,0.9,0.3129
resunet,Precision,0.9,0.3433
resunet,Recall,0.1,0.525
attnresunet,IoU,0.5,0.2333
attnresunet,F1,0.5,0.3784
attnresunet,Precision,0.7,1.0
attnresunet,Recall,0.1,1.0
mmarunet,IoU,0.1,0.0586
mmarunet,F1,0.1,0.1106
mmarunet,Precision,0.2,0.2727
mmarunet,Recall,0.1,0.1625
