Model,Precision,Recall,Threshold
unet,0.0065,1.0,0.0001
unet,0.0065,1.0,0.0001
unet,0.0065,1.0,0.0001
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0002
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0065,1.0,0.0003
unet,0.0066,1.0,0.0003
