Patch,Channel,Channel_Name,Mean_Inside,Std_Inside,Mean_Outside,Std_Outside,N_Inside,N_Outside
0,0,B2 (Blue),0.678266,0.140586,0.155181,0.087201,44,4052
0,1,B3 (Green),0.678043,0.153298,0.12709,0.100866,44,4052
0,2,B4 (Red),0.696418,0.239818,0.233846,0.198471,44,4052
0,3,B5 (RE1),0.548533,0.073109,0.595061,0.178575,44,4052
0,4,B6 (RE2),0.825857,0.090382,0.399808,0.052283,44,4052
0,5,B7 (RE3),0.809827,0.090705,0.393295,0.046278,44,4052
0,6,B8 (NIR),0.811602,0.231555,0.212554,0.091945,44,4052
0,7,B8A (NIR-n),0.347498,0.131885,0.603534,0.117841,44,4052
0,8,B11 (SWIR1),0.171723,0.078889,0.719549,0.052861,44,4052
0,9,B12 (SWIR2),0.475988,0.10465,0.418964,0.06773,44,4052
0,10,NDVI,0.376174,0.060662,0.310076,0.229501,44,4052
0,11,NDWI,0.999991,1.6e-05,0.999528,0.016799,44,4052
0,12,EVI,0.505359,0.18419,0.509316,0.132763,44,4052
0,13,SAVI,0.442981,0.102954,0.278911,0.170894,44,4052
0,14,BSI,0.457515,0.102007,0.459759,0.103615,44,4052
0,15,NDSI,0.315465,0.3459,0.087675,0.539797,44,4052
0,16,Slope,-0.865082,0.180191,-0.613557,0.569632,44,4052
1,0,B2 (Blue),0.277798,0.048615,0.131708,0.112695,36,4060
1,1,B3 (Green),0.240208,0.045532,0.090231,0.11285,36,4060
1,2,B4 (Red),0.230218,0.045396,0.1115,0.163843,36,4060
1,3,B5 (RE1),0.193904,0.039419,0.327113,0.08314,36,4060
1,4,B6 (RE2),0.612216,0.0546,0.455517,0.063115,36,4060
1,5,B7 (RE3),0.615656,0.055993,0.451961,0.06135,36,4060
1,6,B8 (NIR),0.517535,0.030145,0.347424,0.084239,36,4060
1,7,B8A (NIR-n),0.37877,0.08082,0.528444,0.07726,36,4060
1,8,B11 (SWIR1),0.260838,0.096182,0.570929,0.076386,36,4060
1,9,B12 (SWIR2),0.488967,0.096309,0.482058,0.08497,36,4060
1,10,NDVI,0.140463,0.039141,0.394884,0.238386,36,4060
1,11,NDWI,0.999992,1e-05,0.999726,0.015692,36,4060
1,12,EVI,0.516194,0.148885,0.51087,0.129541,36,4060
1,13,SAVI,0.380688,0.124247,0.33079,0.154604,36,4060
1,14,BSI,0.444376,0.131493,0.459714,0.113436,36,4060
1,15,NDSI,0.695467,0.468138,0.503653,0.603987,36,4060
1,16,Slope,-0.377081,0.393678,-0.411348,0.460788,36,4060
